,,,,,,,
,순번,위치,인물,스프라이트,대사 1,대사 2,대사 3
,1,오른쪽,도적,Thief,"으윽, 너무 강하잖아!","이, 이딴 게 공주...?",
,2,왼쪽,케이,Kay_angry,뭐? 이딴 게?,강제 예절 주입을 더 받고 싶어?,
,3,오른쪽,도적,Thief,히이익!,항복... 항복입니다!,
,4,오른쪽,성기사,Paladin,후우... 역시 모험가 따위는 도움이 안되는군.,"공주님, 제가 직접 상대해 드리죠.",이젠 절대 놓치지 않습니다!
,5,왼쪽,검사,Swordsman,"큭... 공주님, 성기사는 정말 무리입니다.",이길 수 있을 리가 없어요!,
,6,왼쪽,케이,Kay_angry,흥! 이대로 포기할 것 같았다면 시작하지도 않았어.,너의 역할은 끝났으니까 도망가고 싶으면 빨리가!,
,7,왼쪽,검사,Swordsman,"그, 그럴 순 없어요.",공주님은 제 고용주라고요.,절대 도망칠 수 없습니다!
,8,왼쪽,마법사,Wizard,"어휴, 참.",이래서 제대로 일을 처리하려면 내가 나서야 한다니까.,
,9,왼쪽,마법사,Wizard,둘 다 나와요. 성기사는 제가 상대해 드리죠.,,
,10,왼쪽,검사,Swordsman,엇...! 당신은!,,
,11,오른쪽,성기사,Paladin,마법사! 왕실 마법사가 성기사의 앞을 가로막다니!,왕국의 권위에 도전하는가!,
,12,왼쪽,마법사,Wizard,하! 왕국의 공주를 위협하는 근육 바보에게 듣고 싶지 않은 말이네요.,제가 왕국의 정치에 관심이 있어서 참견하는 건 아니지만...,
,13,왼쪽,마법사,Wizard,일감도 없는 마당에 마법 연구를 지속하기 위해선,공주님이 대가로 약속한 보수가 꼭 필요해서 말이죠.,
,14,왼쪽,케이,Kay_happy,"후후, 어떠냐!",왕실 마법사를 끌어들인 나의 지갑...,"아니, 통솔력이!"
,15,왼쪽,검사,Swordsman,그래요...! 왕실 마법사라면 성기사를 상대할 수 있겠어요!,,
,16,오른쪽,성기사,Paladin,"하, 이놈도 저놈도 모두 돈에 눈이 먼 바보들 뿐이군.",공주님이 너희들을 끝까지 책임질 대단한 계획이라도 있을 것 같나?,
,17,오른쪽,성기사,Paladin,너흰 모두 공주님의 일탈에 놀아나고 있는 것이다.,반란죄로 사형당하고 싶지 않으면 모두 비켜라!,
,18,왼쪽,케이,Kay_embarrassed,뭐... 뭐? 일탈??,말이 너무 심하네 아저씨!,
,19,왼쪽,검사,Swordsman,그래! 말이 심하네!,우리 공주님이 대단한 계획은 없어도 용병들 줄 돈은 있다고!,
,20,왼쪽,케이,Kay_angry,뭐 이 자식아??,,
,21,왼쪽,마법사,Wizard,둘 다 조용히 하세요!,마법에 집중할 수가 없잖아요!,
,22,오른쪽,성기사,Paladin,"공주님, 강제로라도 끌고가겠습니다.",이번엔 정말 크게 혼나실 겁니다!,
